applause		41.45	46.02	4.57	
applause		48.83	53.39	4.56	
applause		129.62	132.72	3.1	
applause		209.78	211.18	1.4	
applause		233.15	239.63	6.48	
applause		246.53	248.04	1.51	
applause		264.58	268.72	4.14	
applause		300.04	303.38	3.34	
applause		312.08	315.79	3.71	
applause		386.58	393.37	6.79	
applause		437.41	439.11	1.7	
applause		487.97	491.11	3.14	
applause		591.48	599.05	7.57	
laughter		55.74	57.29	1.55	
laughter		57.57	58.53	0.96	
laughter		67.78	69.61	1.83	
laughter		71.76	72.84	1.08	
laughter		86.23	88.23	2.0	
laughter		91.75	94.05	2.3	
laughter		104.4	106.4	2.0	
laughter		119.82	121.7	1.88	
laughter		123.74	124.7	0.96	
laughter		127.62	129.61	1.99	
laughter		138.67	141.39	2.72	
laughter		141.88	142.75	0.87	
laughter		162.1	163.73	1.63	
laughter		184.04	185.83	1.79	
laughter		187.27	189.07	1.8	
laughter		193.02	194.11	1.09	
laughter		206.58	208.08	1.5	
laughter		209.05	211.21	2.16	
laughter		223.18	225.82	2.64	
laughter		227.21	228.08	0.87	
laughter		229.44	230.67	1.23	
laughter		232.28	234.44	2.16	
laughter		241.52	242.74	1.22	
laughter		244.69	245.51	0.82	
laughter		246.53	248.04	1.51	
laughter		252.99	254.22	1.23	
laughter		258.54	259.42	0.88	
laughter		262.2	264.15	1.95	
laughter		272.6	273.37	0.77	
laughter		276.79	278.4	1.61	
laughter		280.07	281.93	1.86	
laughter		285.63	288.34	2.71	
laughter		288.65	291.3	2.65	
laughter		295.6	297.16	1.56	
laughter		309.91	315.82	5.91	
laughter		322.68	323.88	1.2	
laughter		324.66	325.58	0.92	
laughter		327.93	329.21	1.28	
laughter		338.69	340.36	1.67	
laughter		345.94	347.83	1.89	
laughter		349.12	351.13	2.01	
laughter		364.32	366.62	2.3	
laughter		376.05	378.86	2.81	
laughter		379.99	382.3	2.31	
laughter		384.04	386.58	2.54	
laughter		405.02	407.02	2.0	
laughter		427.17	433.27	6.1	
laughter		434.58	437.01	2.43	
laughter		441.03	442.18	1.15	
laughter		444.26	445.9	1.64	
laughter		458.54	461.92	3.38	
laughter		474.19	476.04	1.85	
laughter		479.74	481.53	1.79	
laughter		482.3	483.47	1.17	
laughter		485.63	487.97	2.34	
laughter		492.8	494.79	1.99	
laughter		496.22	496.65	0.43	
laughter		504.15	504.86	0.71	
laughter		510.41	513.12	2.71	
laughter		513.9	516.0	2.1	
laughter		516.82	518.7	1.88	
laughter		519.71	521.56	1.85	
laughter		525.28	526.32	1.04	
laughter		576.47	578.22	1.75	
laughter		580.32	582.31	1.99	
