laughter		23.64	24.92	1.28	
laughter		39.96	41.36	1.4	
laughter		46.28	47.32	1.04	
laughter		57.76	59.08	1.32	
laughter		60.96	61.8	0.84	
laughter		63.64	65.16	1.52	
laughter		67.16	67.6	0.44	
laughter		70.4	73.8	3.4	
laughter		74.6	77.4	2.8	
laughter		78.72	79.44	0.72	
laughter		81.16	81.76	0.6	
laughter		82.64	83.84	1.2	
laughter		94.52	95.96	1.44	
laughter		100.28	101.6	1.32	
laughter		101.96	102.72	0.76	
laughter		105.16	105.72	0.56	
laughter		107.8	110.36	2.56	
laughter		112.48	113.48	1.0	
laughter		114.68	115.6	0.92	
laughter		123.2	130.64	7.44	
laughter		135.88	137.6	1.72	
laughter		138.64	139.88	1.24	
laughter		144.12	145.48	1.36	
laughter		147.32	152.32	5.0	
laughter		157.36	159.76	2.4	
laughter		160.4	162.72	2.32	
laughter		171.44	173.08	1.64	
laughter		177.48	179.88	2.4	
laughter		187.96	190.64	2.68	
laughter		198.96	203.84	4.88	
laughter		204.12	211.28	7.16	
laughter		213.44	215.92	2.48	
laughter		228.76	229.44	0.68	
laughter		234.64	235.88	1.24	
laughter		239.28	240.0	0.72	
laughter		243.68	244.64	0.96	
laughter		248.08	250.24	2.16	
laughter		252.36	252.84	0.48	
laughter		264.2	269.56	5.36	
laughter		270.04	271.56	1.52	
laughter		276.24	278.72	2.48	
laughter		279.28	285.08	5.8	
laughter		287.24	289.32	2.08	
laughter		294.92	298.6	3.68	
laughter		299.16	299.88	0.72	
laughter		309.92	311.24	1.32	
laughter		321.0	322.28	1.28	
laughter		322.4	324.48	2.08	
laughter		325.88	328.68	2.8	
laughter		330.04	332.64	2.6	
laughter		334.52	336.6	2.08	
laughter		338.88	340.28	1.4	
laughter		348.72	351.44	2.72	
laughter		352.28	353.76	1.48	
laughter		357.4	359.36	1.96	
laughter		362.88	364.24	1.36	
laughter		365.92	369.4	3.48	
laughter		370.8	372.08	1.28	
laughter		376.92	378.68	1.76	
laughter		387.48	388.12	0.64	
laughter		392.52	395.76	3.24	
laughter		398.16	400.36	2.2	
laughter		401.56	403.32	1.76	
laughter		415.52	416.72	1.2	
laughter		418.68	420.72	2.04	
laughter		422.68	423.08	0.4	
laughter		425.04	428.16	3.12	
laughter		431.48	434.92	3.44	
laughter		435.32	439.52	4.2	
laughter		443.12	444.36	1.24	
laughter		451.44	452.96	1.52	
laughter		455.8	461.08	5.28	
laughter		462.4	464.12	1.72	
laughter		466.32	468.4	2.08	
applause		17.16	22.32	5.16	
applause		29.76	34.72	4.96	
applause		49.2	53.36	4.16	
applause		53.76	56.4	2.64	
applause		73.16	76.4	3.24	
applause		88.44	93.52	5.08	
applause		125.56	129.0	3.44	
applause		158.4	162.44	4.04	
applause		204.72	210.28	5.56	
applause		214.68	217.2	2.52	
applause		265.84	269.44	3.6	
applause		276.92	284.12	7.2	
applause		366.84	370.6	3.76	
applause		404.08	410.64	6.56	
applause		466.68	472.64	5.96	
