laughter		22.88	24.4	1.52	
laughter		31.2	32.44	1.24	
laughter		33.88	34.52	0.64	
laughter		36.84	37.88	1.04	
laughter		39.92	40.68	0.76	
laughter		48.28	49.36	1.08	
laughter		50.96	51.56	0.6	
laughter		60.44	62.08	1.64	
laughter		64.24	65.4	1.16	
laughter		68.2	68.8	0.6	
laughter		70.36	72.76	2.4	
laughter		78.64	79.16	0.52	
laughter		80.6	81.12	0.52	
laughter		86.16	86.8	0.64	
laughter		89.12	90.84	1.72	
laughter		96.44	97.84	1.4	
laughter		105.16	105.92	0.76	
laughter		108.6	110.88	2.28	
laughter		124.0	125.72	1.72	
laughter		129.64	130.48	0.84	
laughter		133.04	133.92	0.88	
laughter		136.28	138.36	2.08	
laughter		155.16	156.2	1.04	
laughter		163.96	165.12	1.16	
laughter		176.72	178.04	1.32	
laughter		184.84	185.96	1.12	
laughter		193.6	194.16	0.56	
laughter		198.4	201.72	3.32	
laughter		209.12	210.88	1.76	
laughter		217.12	218.48	1.36	
laughter		240.44	241.48	1.04	
laughter		244.28	246.4	2.12	
laughter		249.24	249.84	0.6	
laughter		257.92	259.16	1.24	
laughter		263.8	266.76	2.96	
applause		52.96	56.64	3.68	
applause		70.8	74.96	4.16	
applause		89.8	93.12	3.32	
applause		97.32	101.36	4.04	
applause		109.48	112.4	2.92	
applause		136.84	140.0	3.16	
applause		142.28	147.4	5.12	
applause		199.8	202.6	2.8	
applause		209.92	214.12	4.2	
applause		245.8	249.28	3.48	
applause		264.68	268.28	3.6	
